"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000227066.1",3.87145614035323,-4.3495890737539,9.10101712347108,1.39373003594497e-14,2.42759897660895e-10,22.2876368572591
"ENSG00000087495.15",5.84994587743596,-2.88536333116633,8.78276397947666,6.65048021208705e-14,4.22000946456055e-10,21.1641358748655
"ENSG00000147570.8",3.79157844913147,-2.61047723246712,8.76464742940342,7.26835939469609e-14,4.22000946456055e-10,21.0743122354731
"ENSG00000112276.12",5.18720841702801,-3.94006357391312,8.62840237321657,1.41704200902924e-13,6.17050942831784e-10,20.2956251295919
"ENSG00000165476.11",2.03713049097201,3.083506060532,8.45874013358157,3.24954772308263e-13,1.05955618068838e-09,19.5998272466614
"ENSG00000181195.9",5.62873166175202,-4.72917069862088,8.43496150616768,3.6498662786372e-13,1.05955618068838e-09,19.2691725616698
"ENSG00000221955.9",2.94591623543854,-3.16332679782723,8.35758049016778,5.32535236947802e-13,1.1539791857622e-09,19.0747526801689
"ENSG00000197503.4",4.74692316298157,-5.85862114531622,8.34250896231966,5.73169211349932e-13,1.1539791857622e-09,18.4403574711784
"ENSG00000188626.6",5.79194495384161,-2.617095008759,8.33440915997138,5.96268955784807e-13,1.1539791857622e-09,19.0797229757551
"ENSG00000130529.14",5.12094433396264,1.59257144323222,8.21989254866952,1.0418560082148e-12,1.81470479510854e-09,18.4917867187034
"ENSG00000232431.3",5.91487748606708,-4.43894612177427,8.06277998438564,2.23635224464242e-12,3.37316145327953e-09,17.6338242509686
"ENSG00000182676.4",4.64940363997554,1.51680696818344,8.05486787765644,2.32391419447435e-12,3.37316145327953e-09,17.7037041840144
"ENSG00000171517.5",4.99463607499331,-4.23226547985123,7.98005962087691,3.3403753922075e-12,4.47558912165155e-09,17.2623857288763
"ENSG00000226674.7",3.33570228609824,-3.97054992102188,7.81839870764133,7.30212292912373e-12,9.08488408424837e-09,16.4867930500677
"ENSG00000074657.12",3.3710927811382,0.188982247086401,7.7905491781405,8.35283489967227e-12,9.69931188549944e-09,16.5065294431421
"ENSG00000241721.1",3.7602374458785,-4.57096166857061,7.72403541642369,1.15110275021475e-11,1.20654311887894e-08,15.9620045777353
"ENSG00000135678.10",2.82688707247348,1.38722621914638,7.71931324331665,1.17758830066265e-11,1.20654311887894e-08,16.1211708904698
"ENSG00000163792.6",3.05904636063068,-4.67563046232431,7.70601023985274,1.25550551410183e-11,1.21491083581254e-08,15.7944556953582
"ENSG00000256951.1",4.42028421846899,-5.69501467630096,7.67736645782301,1.4411147771e-11,1.32112300986988e-08,15.5402492233935
"ENSG00000277435.1",4.7345636821475,-4.79550469725644,7.60323936476198,2.05801793688429e-11,1.7658738795136e-08,15.4478442594546
