"","hgnc_id","hgnc_symbol","ensembl_gene_id","logFC","AveExpr","t","p.unadj","p.adj.bh","b","nrank.conf.n1","nrank.conf.5perc","nrank.conf.20perc"
"ENSG00000078399.14","HGNC:5109","HOXA9","ENSG00000078399",6.13552784668711,2.82410436861272,7.40024514548572,5.19036997753791e-11,2.81721188323823e-08,14.7868353249935,1,1,1
"ENSG00000139117.12","HGNC:23498","CPNE8","ENSG00000139117",5.16646871081413,-0.00366349280455272,7.09262989829012,2.24882159011867e-10,9.56846161941955e-08,13.2182503717607,1,1,0
"ENSG00000248334.5","HGNC:32360","WHAMMP2","ENSG00000248334",3.90296950276135,1.15245471398649,6.90549376736265,5.44113914524536e-10,1.82539754593856e-07,12.5239349800767,1,1,0
"ENSG00000253293.4","HGNC:5100","HOXA10","ENSG00000253293",4.99863984583337,1.8777035216974,6.79476975488665,9.14745136269892e-10,2.50209593981612e-07,12.0263882420137,1,0,0
"ENSG00000132122.10","HGNC:18309","SPATA6","ENSG00000132122",3.24581371923156,-0.297693991816937,6.5624828869907,2.69662991456825e-09,5.73691571459063e-07,10.9545542470758,1,0,0
"ENSG00000254369.5","HGNC:43748","HOXA-AS3","ENSG00000254369",6.08160759934322,-1.92875913999169,6.36838026526101,6.59004166502882e-09,1.21013975627819e-06,9.68146983735252,1,1,0
"ENSG00000106004.4","HGNC:5106","HOXA5","ENSG00000106004",4.60701831835348,1.88834743713128,6.26802880521365,1.04200803761553e-08,1.6831324274262e-06,9.68543807862176,1,1,0
"ENSG00000105997.21","HGNC:5104","HOXA3","ENSG00000105997",5.33179893672028,0.83529281962363,6.03956402701817,2.92666961076166e-08,3.76566357891139e-06,8.71598436179163,1,1,0
"ENSG00000276141.3","HGNC:27892","WHAMMP3","ENSG00000276141",3.48476583277237,0.965701118871267,6.02353992815349,3.14473712259154e-08,3.85991160042799e-06,8.64328029889955,1,0,0
"ENSG00000143995.18","HGNC:7000","MEIS1","ENSG00000143995",3.86325289185332,2.85750832192318,5.46884688798507,3.59654721168339e-07,2.43008741636328e-05,6.20237023213625,1,0,0
"ENSG00000010319.5","HGNC:30400","SEMA3G","ENSG00000010319",3.16407315596682,-3.68191238576626,5.4334257536502,4.18692777002345e-07,2.75626245087016e-05,5.91344934682815,1,0,0
"ENSG00000106006.6","HGNC:5107","HOXA6","ENSG00000106006",6.3996040131208,-1.3130877457244,5.39198257156924,4.99885177686324e-07,3.19432121785272e-05,5.90627452321732,1,1,1
"ENSG00000230453.8","HGNC:23644","ANKRD18B","ENSG00000230453",5.15152777106211,-3.05434710747218,5.24452938110157,9.34190623050686e-07,5.10241110736926e-05,5.20208484937993,1,1,0
"ENSG00000198929.11","HGNC:16859","NOS1AP","ENSG00000198929",3.42221966758272,-3.40331753874085,5.24230781194569,9.42972093246562e-07,5.10819443864079e-05,5.23587383820899,1,0,0
"ENSG00000197576.12","HGNC:5105","HOXA4","ENSG00000197576",3.21343558971995,-0.0960751851731769,5.22890770134307,9.9767739965515e-07,5.33879823220371e-05,5.39189543103282,1,0,0
"ENSG00000102362.14","HGNC:15588","SYTL4","ENSG00000102362",3.70807069982674,-2.04018568755673,5.13644208995209,1.46938621393243e-06,7.18023599497233e-05,4.98787711094831,1,0,0
"ENSG00000254006.4","","","ENSG00000254006",5.1707816664091,-3.04372661524621,5.11156166515415,1.6297548308676e-06,7.78933507520144e-05,4.71415770833475,1,0,0
"ENSG00000165092.11","HGNC:402","ALDH1A1","ENSG00000165092",4.26165828668135,-0.709106351407507,5.10756875366297,1.65703448476279e-06,7.8551539637736e-05,4.92625943130959,1,1,0
"ENSG00000153132.11","HGNC:2060","CLGN","ENSG00000153132",4.01919390876428,-3.12737686205408,5.08323739324424,1.83315934430137e-06,8.34972970269905e-05,4.66359816070674,1,0,0
"ENSG00000170153.9","HGNC:23138","RNF150","ENSG00000170153",3.55236025263542,-3.84255393992418,4.93475974591622,3.37714124273854e-06,0.000132094683810704,4.05454117992302,1,0,0
"ENSG00000205213.12","HGNC:13299","LGR4","ENSG00000205213",3.62285963065834,-1.47107094822038,4.87970891726683,4.22553176514289e-06,0.000156174579751944,4.0557778251023,1,0,0
"ENSG00000198185.10","HGNC:15806","ZNF334","ENSG00000198185",3.5653954962224,-1.80675131194877,4.83586924655303,5.04632202024867e-06,0.000179676414075602,3.88551516135536,1,0,0
"ENSG00000130208.8","HGNC:607","APOC1","ENSG00000130208",3.0558739316748,-0.379938717550184,4.70972018488559,8.36960997528274e-06,0.000255258472060852,3.40734104743751,1,0,0
"ENSG00000232431.3","","","ENSG00000232431",4.93633991220311,-4.4401849259222,4.68416846751837,9.26453987777354e-06,0.000276273330201298,3.07524026195611,1,0,0
"ENSG00000261377.4","HGNC:49873","PDCD6IPP2","ENSG00000261377",3.279527358812,0.865183936446727,4.67828159609038,9.48351984885289e-06,0.000279610269319453,3.20994724240679,1,0,0
"ENSG00000239887.4","HGNC:34351","C1orf226","ENSG00000239887",3.43386667383462,-3.48980361367414,4.64333399321623,1.08906527911664e-05,0.000309930567605052,3.08748132790917,1,0,0
"ENSG00000184500.13","HGNC:9456","PROS1","ENSG00000184500",3.29169611647028,-2.12006731541899,4.60136843819507,1.28490610965866e-05,0.00034947855824731,3.03282058776439,1,1,0
"ENSG00000206120.10","HGNC:25149","EGFEM1P","ENSG00000206120",2.91060173629083,-5.67086458091285,4.59672198437899,1.3085809238873e-05,0.000352286947796511,2.70121768277345,1,0,0
"ENSG00000047648.20","HGNC:676","ARHGAP6","ENSG00000047648",3.43144699656363,-2.92178577172706,4.49870153687768,1.91873077769655e-05,0.00046041620931109,2.63571861198996,1,0,0
"ENSG00000188626.6","HGNC:44404","GOLGA8M","ENSG00000188626",5.20681774127785,-2.61050213581505,4.49339213688799,1.95865936799679e-05,0.000468649093286136,2.59027347877173,1,1,1
"ENSG00000133742.12","HGNC:1368","CA1","ENSG00000133742",2.71106221756784,3.76877362065861,4.44121904445926,2.39625524917593e-05,0.000544303230698033,2.06662128400919,1,0,0
"ENSG00000102595.17","HGNC:15664","UGGT2","ENSG00000102595",3.56757653159875,-1.49633306511743,4.44088237207622,2.39936477160669e-05,0.000544303230698033,2.47207038101334,1,0,0
"ENSG00000154864.10","HGNC:26270","PIEZO2","ENSG00000154864",4.6282726169634,-2.42108484596346,4.42495069777411,2.5510517707494e-05,0.000567018561320015,2.38358882860184,1,0,0
"ENSG00000205978.5","HGNC:20165","NYNRIN","ENSG00000205978",1.6245472883783,1.33309567810782,4.40164449735695,2.78975249844923e-05,0.000606067650503696,2.08663956146304,1,0,0
"ENSG00000087495.15","HGNC:15833","PHACTR3","ENSG00000087495",4.78881002333715,-2.91645133114161,4.33814535956236,3.55465198897891e-05,0.000726974254955887,2.05912479578116,1,0,0
"ENSG00000203799.9","HGNC:21565","CCDC162P","ENSG00000203799",2.24656426342608,-2.65823103991761,4.30813199355962,3.98311520842048e-05,0.00079322834611997,2.01119171801106,1,0,0
"ENSG00000173868.10","HGNC:16815","PHOSPHO1","ENSG00000173868",2.11853318803706,-0.0945086126627972,4.24773844014929,5.00106190345318e-05,0.000942154696606271,1.6982376379236,1,0,0
"ENSG00000259207.6","HGNC:6156","ITGB3","ENSG00000259207",3.86607065023814,-2.60184850219303,4.24525994186408,5.04778425390143e-05,0.000946866626981834,1.78797709517057,1,1,1
"ENSG00000227502.2","HGNC:50323","LINC01268","ENSG00000227502",3.21461206119816,-0.853242876411078,4.20154549517312,5.9442754693617e-05,0.00106453851576814,1.62169653770604,1,0,0
"ENSG00000197301.6","","","ENSG00000197301",2.51861235443866,-3.52822295276174,4.1102287274787,8.33639766381981e-05,0.00137727697223759,1.32902318952727,1,0,0
"ENSG00000179542.14","HGNC:23502","SLITRK4","ENSG00000179542",3.72220428221957,-0.988057198531869,4.07860743799429,9.36230315858421e-05,0.00149839796882111,1.22525336785647,1,1,1
"ENSG00000275325.3","HGNC:49872","PDCD6IPP1","ENSG00000275325",4.44259129051184,-2.18845227417673,4.03304800698294,0.00011055670305618,0.00166209756688868,1.09717562868598,1,0,0
"ENSG00000130635.14","HGNC:2209","COL5A1","ENSG00000130635",2.88396393134897,-0.867687028687272,4.027428704809,0.000112838163415989,0.00168966674746089,1.02548422704555,1,0,0
"ENSG00000166394.13","HGNC:24376","CYB5R2","ENSG00000166394",2.81312383504186,-3.01902056540125,4.01909083493245,0.000116306659710984,0.00172092423974395,1.04915761714035,1,0,0
"ENSG00000112077.14","HGNC:10006","RHAG","ENSG00000112077",3.64025956234192,0.859122445201052,4.0110166399169,0.000119762635610711,0.00175126502785319,0.853165249631442,1,0,0
"ENSG00000198963.9","HGNC:10259","RORB","ENSG00000198963",2.39452182751723,-5.04250318258288,4.00093283000211,0.000124217008541805,0.00180300225033757,0.89151023285837,1,0,0
"ENSG00000081985.9","HGNC:5972","IL12RB2","ENSG00000081985",2.66314587636877,-2.34355820372858,3.99583694875133,0.000126527941159749,0.00183176757969446,0.976340882958408,1,0,0
"ENSG00000101333.15","HGNC:9059","PLCB4","ENSG00000101333",3.49734844115563,-2.78657435710011,3.98566452714286,0.000131264696883351,0.00187851733972934,0.942480097657174,1,1,1
"ENSG00000165949.11","HGNC:5397","IFI27","ENSG00000165949",2.82582944107828,0.236796442809281,3.9742643021075,0.000136774785189584,0.00192733128241704,0.751348835244448,1,0,0
"ENSG00000125845.6","HGNC:1069","BMP2","ENSG00000125845",2.38508613759881,-1.95992103559899,3.97216048492602,0.000137815524248416,0.00193724950900639,0.887295617264662,1,0,0
"ENSG00000114405.9","HGNC:25024","C3orf14","ENSG00000114405",3.19292474198575,-4.00731859176992,3.94105062370751,0.000154117908256855,0.00209391503858321,0.764317749837049,1,0,0
"ENSG00000112414.13","HGNC:13841","ADGRG6","ENSG00000112414",4.90499857889181,-3.34163951991645,3.91816404654558,0.000167271381761565,0.0022241229076452,0.697016719849626,1,0,0
"ENSG00000198722.11","HGNC:12566","UNC13B","ENSG00000198722",2.35426628310248,-0.533654510553134,3.82539949948203,0.000232410655981521,0.00280387544508827,0.325453717439561,1,1,1
"ENSG00000120279.6","HGNC:23172","MYCT1","ENSG00000120279",3.19570064072669,-4.00890747330531,3.81511833111117,0.000240964803062178,0.0028791993078217,0.385004310219032,1,1,0
"ENSG00000102996.4","HGNC:7161","MMP15","ENSG00000102996",1.6683407079881,-1.04321953184829,3.75094393468656,0.000301529800422912,0.00337130936273986,0.103273555063722,1,0,0
"ENSG00000181433.8","HGNC:30369","SAGE1","ENSG00000181433",5.39195937355544,-3.62994493318048,3.72166570640454,0.000333738507629074,0.00362068921989377,0.091123645834938,1,0,0
"ENSG00000243064.7","HGNC:16022","ABCC13","ENSG00000243064",2.2700976980448,-2.68139809130078,3.72113391332926,0.000334352712706761,0.00362509824311339,0.116029381612129,1,0,0
"ENSG00000187240.12","HGNC:2962","DYNC2H1","ENSG00000187240",1.66940082732694,-1.02538693238971,3.70174915361365,0.00035748909113641,0.00379573779359384,-0.0500440798787611,1,0,0
"ENSG00000124140.11","HGNC:13818","SLC12A5","ENSG00000124140",1.55688952724556,-0.0659007275177244,3.66943210592347,0.000399475064466819,0.00410656599859968,-0.262680704825827,1,0,0
"ENSG00000207205.1","HGNC:48320","RNVU1-15","ENSG00000207205",2.33594227935449,-2.63611560930449,3.6606310485811,0.000411695770686801,0.00419632555222233,-0.0691482643861452,1,0,0
"ENSG00000188580.12","HGNC:16443","NKAIN2","ENSG00000188580",3.18877264272744,-4.02126238018041,3.63733163154938,0.000445783130299459,0.00444636175418757,-0.138996236841994,1,0,0
"ENSG00000271952.1","HGNC:52779","LINC01954","ENSG00000271952",3.2415608253315,-4.8035159332474,3.6269390988545,0.000461835407517974,0.00454411657312525,-0.199102322270845,1,0,0
"ENSG00000120833.12","HGNC:19382","SOCS2","ENSG00000120833",1.67330076792166,3.50675276741395,3.60695066856544,0.000494261480454147,0.00477935594330711,-0.813803920921951,1,0,0
"ENSG00000118523.5","HGNC:2500","CTGF","ENSG00000118523",3.18603457491269,-0.370578462168763,3.58992507334122,0.000523570129224212,0.00496935848983481,-0.404465962879799,1,1,0
"ENSG00000128683.12","HGNC:4092","GAD1","ENSG00000128683",2.85249483397555,-1.93582953038185,3.58727034877644,0.000528285754883955,0.00499238623724301,-0.313055473506815,1,0,0
"ENSG00000144893.11","HGNC:16050","MED12L","ENSG00000144893",2.01813924846195,1.33669542094872,3.58088495347124,0.000539793378421256,0.0050518752610294,-0.685873704998232,1,0,0
"ENSG00000165300.7","HGNC:20295","SLITRK5","ENSG00000165300",2.85434109377057,-3.36667794072376,3.57052013806995,0.000558979026290963,0.00518139697855784,-0.323298788304706,1,1,1
"ENSG00000149948.12","HGNC:5009","HMGA2","ENSG00000149948",3.24999409715376,-2.94795690512348,3.53170703344415,0.000636708148377285,0.00569901162054476,-0.439801873455703,1,1,0
"ENSG00000130529.14","HGNC:17993","TRPM4","ENSG00000130529",3.10191439016493,1.55053179642078,3.52141044881359,0.000658981611659522,0.00582958124513203,-0.840003503893737,1,0,0
"ENSG00000180543.4","HGNC:29367","TSPYL5","ENSG00000180543",2.27382749455812,-1.64295181475958,3.47935431383739,0.000757826450001454,0.00645521602552508,-0.663757059634656,1,0,0
"ENSG00000046889.17","HGNC:22950","PREX2","ENSG00000046889",2.11507524337318,-5.20023198764302,3.4769122511007,0.000763975651219281,0.00649174633975663,-0.619296904148388,1,0,0
"ENSG00000159189.10","HGNC:1245","C1QC","ENSG00000159189",2.28696695191792,-1.57159100764233,3.47274298146644,0.000774582887360151,0.0065658884693867,-0.693510768313979,1,0,0
"ENSG00000120549.14","HGNC:25428","KIAA1217","ENSG00000120549",2.73775275373272,-2.96674886240576,3.4677283720506,0.000787524734906006,0.00665941299100111,-0.625879713598571,1,0,0
"ENSG00000185630.17","HGNC:8632","PBX1","ENSG00000185630",2.83423844128044,-1.806707092035,3.46589880013505,0.000792297093752266,0.00668992772228267,-0.680597763222961,1,0,0
"ENSG00000256797.1","HGNC:37646","KLRF2","ENSG00000256797",2.85365120274916,-5.67298917740026,3.46097530938667,0.000805275549670681,0.00675543550521511,-0.681861318910444,1,0,0
"ENSG00000158528.10","HGNC:14946","PPP1R9A","ENSG00000158528",2.77399287564383,-3.79731910420585,3.45971602971308,0.000808627078405305,0.00677220325625566,-0.640647788223895,1,0,0
"ENSG00000163737.3","HGNC:8861","PF4","ENSG00000163737",2.73598055636961,-0.91550841620273,3.45232736020934,0.000828558106446552,0.00689937764532702,-0.791014551720938,1,0,0
"ENSG00000180071.17","HGNC:23643","ANKRD18A","ENSG00000180071",2.56345009261869,-2.93087419149613,3.4463684451524,0.000844968576417769,0.00700926144346552,-0.68951285628823,1,0,0
"ENSG00000187772.6","HGNC:32207","LIN28B","ENSG00000187772",2.87269654384671,-6.03859725761401,3.44207966844752,0.000856968544555944,0.00707227489631001,-0.739248942387094,1,0,0
"ENSG00000163331.9","HGNC:21490","DAPL1","ENSG00000163331",2.26182249964834,-2.83596529005202,3.43365282090805,0.000881015791494826,0.00721393088634633,-0.732736687150691,1,0,0
"ENSG00000169439.10","HGNC:10659","SDC2","ENSG00000169439",2.80706041585875,-0.844061735242025,3.40568772933577,0.000965449764210484,0.00765793425982299,-0.935858988510035,1,0,0
"ENSG00000104892.15","HGNC:20717","KLC3","ENSG00000104892",1.77293428563743,-4.05201832425655,3.40359908847657,0.000972052215187093,0.00767652824533221,-0.797411302412389,1,0,0
"ENSG00000154783.9","HGNC:19117","FGD5","ENSG00000154783",-2.25982692838851,-1.3144903015604,-3.39398589173276,0.00100299194628953,0.00786744357150222,-1.0360500783431,1,0,0
"ENSG00000178053.16","HGNC:7125","MLF1","ENSG00000178053",1.94673048899631,-0.474919979492086,3.36764615363535,0.00109257636998915,0.0083927762106828,-1.11277481701869,1,0,0
"ENSG00000085276.16","HGNC:3498","MECOM","ENSG00000085276",4.29015000456017,-3.27549078293394,3.35122193879953,0.00115218536804337,0.00871996312820859,-0.942177706429802,1,1,0
"ENSG00000000971.14","HGNC:4883","CFH","ENSG00000000971",2.72311969460991,-1.78329480844737,3.34102400280659,0.00119071928004287,0.00891889130113693,-1.04942944691367,1,0,0
"ENSG00000147689.15","HGNC:28210","FAM83A","ENSG00000147689",2.39754421627037,-2.38199325011859,3.32649898828869,0.0012476954120518,0.00919951245276567,-1.05641926366141,1,0,0
"ENSG00000099284.12","HGNC:14453","H2AFY2","ENSG00000099284",2.65838837146744,-0.810033047019165,3.30413754047861,0.00134043071763215,0.00969478186944148,-1.23001821309186,1,0,0
"ENSG00000188153.11","HGNC:2207","COL4A5","ENSG00000188153",4.12621452862567,-3.08064257569521,3.23527434187844,0.00166819418356626,0.0112145077195813,-1.26087905407951,1,0,0
"ENSG00000046604.11","HGNC:3049","DSG2","ENSG00000046604",2.62231007266218,-3.32019608418602,3.2336884860959,0.00167655823722361,0.0112490609416792,-1.27151376127356,1,0,0
"ENSG00000180537.11","HGNC:28522","RNF182","ENSG00000180537",3.02810230735105,-3.15509938119508,3.20382099240881,0.00184158919472648,0.0120369140134895,-1.35343786026094,1,0,0
"ENSG00000096006.10","HGNC:16904","CRISP3","ENSG00000096006",3.28403831897253,-3.40268958023375,3.19425355481143,0.00189758047518344,0.0122841188471081,-1.36880125579593,1,0,0
"ENSG00000168754.12","HGNC:28036","FAM178B","ENSG00000168754",2.1718298013789,-1.19241292031715,3.12291952763784,0.0023678597547531,0.0144198187099204,-1.73332757957859,1,0,0
"ENSG00000125869.8","HGNC:16097","LAMP5","ENSG00000125869",4.24331705429014,-1.66561619764415,3.00390988012459,0.00340013125190019,0.0186584742653032,-1.93669468545016,1,1,0
"ENSG00000204682.5","HGNC:31448","CASC10","ENSG00000204682",2.66659399369293,-1.15376644144193,3.00164616427211,0.00342329637030486,0.0187678834632207,-2.03797061986039,1,0,0
"ENSG00000244734.2","HGNC:4827","HBB","ENSG00000244734",1.58320800136573,8.58653168532479,2.97921145414256,0.00366089473185329,0.0197103927475193,-2.78560338126124,1,0,0
"ENSG00000164659.13","HGNC:21945","KIAA1324L","ENSG00000164659",1.92200975096364,-0.94855016614184,2.94725610638723,0.00402568920689096,0.021115968463913,-2.23483947951208,1,1,0
"ENSG00000213088.8","HGNC:4035","ACKR1","ENSG00000213088",1.94714279653414,-3.18687343884127,2.86989359628043,0.00505187649356933,0.024960115618915,-2.22904915525328,1,0,0
"ENSG00000242516.1","HGNC:48710","LINC00960","ENSG00000242516",1.85731524146357,-3.74649272858559,2.84223158482189,0.00547365506475155,0.0265069592222634,-2.26653770403489,1,0,0
"ENSG00000153253.14","HGNC:10590","SCN3A","ENSG00000153253",1.64331863128849,-3.18913334752315,2.79112600327913,0.00633881457807086,0.029441059721631,-2.42851894454746,1,0,0
"ENSG00000156535.12","HGNC:21685","CD109","ENSG00000156535",1.2685799577784,2.60151953306215,2.73991138328784,0.00732956636846726,0.0328254452016712,-3.23124786547782,1,0,0
"ENSG00000206177.5","HGNC:4826","HBM","ENSG00000206177",1.67266491326527,1.65793193445753,2.72505142327745,0.0076423714126542,0.0338555384795735,-3.15507441310248,1,0,0
"ENSG00000246985.6","HGNC:27054","SOCS2-AS1","ENSG00000246985",1.25546219939457,0.761981878730204,2.6547064376594,0.00929449297953354,0.0391459270951141,-3.24039878036938,1,0,0
"ENSG00000175097.6","HGNC:9832","RAG2","ENSG00000175097",1.61996220908331,-5.03963714780997,2.63714600183593,0.00975451227604482,0.0405320620873284,-2.69471384975592,1,0,0
"ENSG00000147180.15","HGNC:13128","ZNF711","ENSG00000147180",1.85935110796916,0.187672363431812,2.61915601665426,0.0102470631522413,0.0418641725271309,-3.20928256289549,1,0,0
"ENSG00000197992.5","HGNC:26705","CLEC9A","ENSG00000197992",1.66906299589435,-3.05826841020278,2.57774642345797,0.0114673046852746,0.0454239623602669,-2.93687230843893,1,0,0
