"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","MHC class II protein complex (GO:0042613)","13/18",1.46598082479024e-10,3.50369417124867e-08,3.19617635715567e-07,3.81943074680103e-05,-2.59258279665619,58.7046985005981,"CD74;HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"2","extracellular matrix (GO:0031012)","72/348",1.88229655581752e-11,8.99737753680772e-09,7.79097516486721e-10,3.72408612880653e-07,-2.25135516005946,55.5993396497161,"LGALS3BP;COL18A1;ECM1;OLFML2B;WNT2B;TINAGL1;SPARC;ECM2;SERPINA1;HPSE2;LAMC3;COL14A1;TGFB1I1;CRISP3;LAMC1;PCSK6;CTGF;ADAMTS4;MMP25;ADAMTSL2;MMP28;TNR;EMILIN2;CTSG;TPSAB1;ADAMTS9;ADAMTS7;EGFL7;MMP7;VWF;ANXA2;MMP2;MAMDC2;F3;HSPG2;CCDC80;SLPI;NOV;MMP15;COL4A1;CRISPLD2;CHI3L1;COL6A6;COL6A5;GPLD1;LAMA5;COL15A1;CRIP2;LTBP1;ADAMTS10;IL1RL1;SPOCK3;GPC3;SPOCK1;CILP2;APOE;GPC4;CPA6;IMPG2;WNT10B;LAMB2;RARRES2;SSC5D;COL1A1;MFAP4;COL1A2;COL5A1;MGP;OGN;ALPL;FMOD;FBN1"
"3","cell surface (GO:0009986)","81/437",3.32165619687973e-10,5.2925055403617e-08,5.88831426259143e-09,1.40730710875935e-06,-2.28753191582529,49.9262702914487,"ROBO2;ACHE;NRP1;APP;PLVAP;SLC46A1;CIITA;SPARC;ITGB4;ITGB3;ITGA2B;SLC7A11;CLEC9A;PCSK6;MSLN;AREG;ANTXR1;GHR;HYAL2;MRC1;CLEC5A;CAPN5;CA4;TNR;FCER1A;ADAMTS7;HLA-DPA1;KCNH2;ANXA1;ANXA2;GP1BA;ANK3;F3;SPTB;PROCR;CD109;IL1RAPL1;ITGA7;DSG2;VAMP5;HCST;CD44;RTN4R;NLGN1;SDC4;IGSF3;C5AR1;LRP4;TFPI;TSPAN33;CD1B;TSPAN32;LRP6;NT5E;HLA-DMA;CXCR2;PDGFC;LRRC8A;CD59;ELANE;NTRK1;FZD1;NGFR;CD74;SORT1;ABCA7;GP6;L1CAM;ACVR2A;IGF2R;SULF2;BMP2;AXL;HLA-DPB1;HLA-DRA;ACKR3;ULBP2;CLEC2D;PAM;RAMP1;HLA-DRB1"
"4","integral component of plasma membrane (GO:0005887)","153/1066",4.59239512646942e-09,5.48791217613096e-07,1.62668202989812e-08,2.59184670097101e-06,-2.14962649185234,41.2703869579105,"APP;VIPR1;CSF3R;CD83;PLXND1;ITGA2B;MPL;SLC4A1;ICAM5;CELSR1;SLC8A1;ANPEP;GJA4;CLEC5A;PALM;TNFSF10;NRCAM;EPHB2;CD96;SLC15A2;CXADR;SLC6A13;ANK2;TM4SF1;EREG;CACNB2;PROCR;BCAM;FOLH1;NINJ2;KLRF2;ROR1;RHCE;GYPA;SDC4;GYPC;GYPB;ABCB4;GYPE;C5AR1;NPR3;CLCNKA;LPAR3;CD1E;CD1C;FUT1;TRHDE;TPO;TBXA2R;TSPAN7;HLA-DQA2;NTSR1;CD99;HLA-DQA1;JAG2;NGFR;PTPRN2;GPR12;TNFSF15;HTR1F;SLC52A3;GP6;IGF2R;PTPRB;SLC6A8;SLC6A9;PTK7;FXYD1;FAT1;HLA-DRA;FGFR4;CD200;HLA-DRB1;FGFR1;DDR1;PTPRU;PTPRS;PTGDR2;FLT4;ITGB3;SLC40A1;PTPRM;PTH1R;TSPAN12;PTPRH;PTPRF;EDA2R;PTPRG;GHR;GRM2;SGCB;SLC22A17;MRC1;MUC12;FCER1A;NEO1;CD34;HLA-DPA1;HS3ST3B1;ABCC3;CD52;PTGIR;MME;GPR34;TPSG1;TRPC1;TACR2;PTH2R;GP1BA;SLC35G2;NCR2;FCER2;MMP15;CDHR1;CEACAM4;MS4A2;VAMP5;CD44;TNFRSF21;DDR2;TMPRSS9;NLGN1;PTGER2;SLC3A1;DLL1;RHD;GPNMB;GPA33;ADAM23;CXCR2;PRRG1;GPC3;GPC4;S1PR4;CACNG4;KCNJ2;IL12RB2;NTRK1;MPP2;GABBR1;TRAT1;GABRA4;SEMA4F;ACVR2A;EPOR;EPGN;CLCN5;AXL;F2RL1;RHAG;CLEC2D;RAMP1;LGR4"
"5","MHC protein complex (GO:0042611)","13/29",4.46807377890879e-07,3.559565443864e-05,1.69945424481436e-05,0.00121148711103858,-2.36135783824106,34.5257394275291,"CD74;HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1"
"6","hemoglobin complex (GO:0005833)","9/12",6.86149836050339e-08,6.55959243264124e-06,1.77414430486821e-05,0.00121148711103858,-1.99862150421115,32.9667718621563,"HBM;HBG1;HBE1;HBB;HBA2;AHSP;HBQ1;HBD;HBA1"
"7","extracellular space (GO:0005615)","146/1120",3.54322247100389e-06,0.000241951477305694,5.52020686197559e-06,0.000527731776004866,-2.09676039955696,26.3153367579893,"CPNE9;APP;CSF3;SPARC;PROS1;IL5RA;FGF2;MPO;GLDN;CTGF;ANPEP;LIPH;FAM3B;TNFSF10;VSTM1;CXADR;HGF;CEL;HSPG2;EREG;SFRP5;PAPPA;CD109;NBL1;GPLD1;CFB;CFD;CETP;CFH;LPO;C2;C3;TPO;PDGFC;CYTL1;APOE;WNT10B;ACE;TNFSF14;TSLP;TNFSF15;ZG16B;LIF;SSC5D;PPBP;IGF2R;COL1A1;CXCL10;BMP2;CXCL11;COL1A2;IL7;TCN1;OGN;ALPL;SCGB3A1;REN;SERPINI1;ULBP2;PAM;FGF12;HLA-DRB1;FBN1;LGALS3BP;DDR1;ACHE;NRP1;COL18A1;ECM1;CXCL9;WNT2B;TINAGL1;SERPINA1;CXCL8;COL14A1;MTCL1;CRISP3;WFDC1;LAMC1;CTSV;CXCL3;PCSK6;MSLN;CXCL2;AREG;PCSK5;PTPRG;ADAMTS4;C1QTNF4;GHR;AIFM2;CTSL;SOSTDC1;CPXM1;CTSG;SPX;TPSAB1;ADAMTS9;EGFL7;AMN;MMP7;ANXA1;ANXA2;METRN;MMP2;NOG;IL18;SERPINB9;F3;HIST2H2BE;IL1B;KIT;CHI3L1;CDH13;SMPDL3A;LAMA5;COL15A1;SEMA3C;CD5L;GCNT1;TFPI;SELENBP1;APOL4;ALOX5;SPOCK3;SPOCK1;CD59;CCL18;CMTM7;CMTM8;CCL23;CCL22;GDF15;CMTM4;F12;CMTM5;BMP8B;SULF2;LRG1;AXL;APOC2;FMOD;RAMP1;C1QC;PF4;UMODL1"
"8","anchoring junction (GO:0070161)","65/419",1.20308978757284e-05,0.000626705564283863,3.57305098371651e-05,0.00202310128132906,-2.21720180045953,25.1165338204753,"NCKAP1;NRP1;TGFB1I1;ITGB3;ITGA2B;FHL2;FHL3;PTPRM;RND3;CAPN5;ANXA6;TNS1;TGM2;CXADR;ANXA1;MME;DST;SHROOM3;AFAP1;KIF23;LMO7;HSPG2;MTSS1;RHOB;PROCR;CTTN;PKP2;CDH13;ITGA7;DSG2;TLN2;SSX2IP;CD44;DDR2;KRT80;SDC4;SYNPO2;PXN;CNN3;ARHGAP22;SLC9A3R2;RRAS;TSPAN9;TSPAN4;CTNNA3;CD59;FLNC;CD99;FZD1;JUP;MCAM;SPRY4;L1CAM;MPP7;IGF2R;AIF1L;MARCKS;DAB2;EHD3;PTK7;DLC1;ITGA11;WNK3;FAT1;ESAM"
"9","plasma membrane region (GO:0098590)","62/395",1.31109950687001e-05,0.000626705564283863,3.97848511623026e-05,0.00202310128132906,-2.17019386740485,24.3974482834727,"PLVAP;SLC46A1;ACY3;ITGB4;MTCL1;SLC40A1;SLC4A1;PTH1R;SLC8A1;HYAL2;PALM;CA4;CD34;AMN;CXADR;DST;TRPC1;SHROOM3;ANK2;LMO7;MYO7A;ANK3;ATP1B2;ANK1;SHROOM4;CDHR1;KCNMA1;CDH13;DSG2;ATP6V0D2;SHANK3;CD44;DDR2;ABCG2;ITGA9;HPGD;C5AR2;C5AR1;LIN7A;LPO;AKAP6;PRKCZ;CACNA1H;LRP6;SLC9A3R2;SLC9A3R1;MARVELD2;PDE6A;FZD3;CADM1;JUP;CYP4F2;ABCA7;DHRS3;TMEM231;EHD2;KIF18A;OCLN;DAB2;DLC1;PFKM;BMPR1A"
"10","adherens junction (GO:0005912)","63/405",1.49366742160265e-05,0.000649066388660062,4.37437763592442e-05,0.00202310128132906,-2.17146056063689,24.1285987954312,"NCKAP1;NRP1;TGFB1I1;ITGB3;ITGA2B;FHL2;FHL3;PTPRM;RND3;CAPN5;ANXA6;TNS1;TGM2;CXADR;ANXA1;MME;DST;SHROOM3;AFAP1;KIF23;LMO7;HSPG2;MTSS1;RHOB;PROCR;CTTN;PKP2;CDH13;ITGA7;TLN2;SSX2IP;CD44;DDR2;SDC4;SYNPO2;PXN;CNN3;ARHGAP22;SLC9A3R2;RRAS;TSPAN9;TSPAN4;CTNNA3;CD59;FLNC;CD99;FZD1;JUP;MCAM;SPRY4;L1CAM;MPP7;IGF2R;AIF1L;MARCKS;DAB2;EHD3;PTK7;DLC1;ITGA11;WNK3;FAT1;ESAM"
