"","name","cont_pca1","cont_pca123","above_theoimp_pc1","above_theoimp_pc123"
"ENSG00000129194.6","ENSG00000129194.6",0.112923469841249,0.0789286151027691,"Y","Y"
"ENSG00000172236.15","ENSG00000172236.15",0.11766157845871,0.0778705937130872,"Y","Y"
"ENSG00000196557.9","ENSG00000196557.9",0.119178275170072,0.0897660982105432,"Y","Y"
"ENSG00000163106.9","ENSG00000163106.9",0.113368708503035,0.0755588647846043,"Y","Y"
"ENSG00000134569.8","ENSG00000134569.8",0.114905543733858,0.0792690046390406,"Y","Y"
"ENSG00000170893.3","ENSG00000170893.3",0.12908162483035,0.0890520589898405,"Y","Y"
"ENSG00000182809.9","ENSG00000182809.9",0.111127607748395,0.0915349938290413,"Y","Y"
"ENSG00000007516.12","ENSG00000007516.12",0.108777445837324,0.0825438850235762,"Y","Y"
"ENSG00000144668.10","ENSG00000144668.10",0.133026966926384,0.100361896539716,"Y","Y"
"ENSG00000260182.1","ENSG00000260182.1",0.121410613646803,0.0830596414588362,"Y","Y"
"ENSG00000137449.14","ENSG00000137449.14",0.099738222710287,0.0633744195945306,"Y","Y"
"ENSG00000197253.12","ENSG00000197253.12",0.107052229296902,0.0703504576573392,"Y","Y"
"ENSG00000271447.4","ENSG00000271447.4",0.156605635590033,0.106856393208,"Y","Y"
"ENSG00000167664.7","ENSG00000167664.7",0.128569847530117,0.0923951236218103,"Y","Y"
"ENSG00000095917.12","ENSG00000095917.12",0.10702747544405,0.0688715715104328,"Y","Y"
"ENSG00000132975.7","ENSG00000132975.7",0.134374340144693,0.0896675520760186,"Y","Y"
"ENSG00000198576.3","ENSG00000198576.3",0.0943827364864114,0.0774372371941286,"Y","Y"
"ENSG00000179954.13","ENSG00000179954.13",0.100556007949563,0.0742248640049405,"Y","Y"
"ENSG00000164929.15","ENSG00000164929.15",0.135708948427203,0.0881844663852119,"Y","Y"
"ENSG00000147488.10","ENSG00000147488.10",0.12442176902869,0.0869167984317731,"Y","Y"
"ENSG00000065054.12","ENSG00000065054.12",0.116485503176381,0.0846670233628375,"Y","Y"
"ENSG00000175287.17","ENSG00000175287.17",0.0942141059665535,0.0602654100681059,"Y","Y"
"ENSG00000263961.5","ENSG00000263961.5",0.0999085626393858,0.0689387242458815,"Y","Y"
"ENSG00000002586.16","ENSG00000002586.16",0.120237311132865,0.097517970933551,"Y","Y"
"ENSG00000135318.10","ENSG00000135318.10",0.107650046572459,0.080249119721757,"Y","Y"
"ENSG00000236939.2","ENSG00000236939.2",0.145475951094189,0.0936250200459221,"Y","Y"
"ENSG00000156298.11","ENSG00000156298.11",0.109601858434179,0.084660403203064,"Y","Y"
"ENSG00000162078.10","ENSG00000162078.10",0.100742101322659,0.0703295436280027,"Y","Y"
"ENSG00000228401.4","ENSG00000228401.4",0.130807312766548,0.0918115091667026,"Y","Y"
"ENSG00000136040.7","ENSG00000136040.7",0.0933375334710839,0.0596961626781885,"Y","Y"
"ENSG00000078399.14","ENSG00000078399.14",0.090193133193654,0.0754820447129358,"Y","Y"
"ENSG00000134242.14","ENSG00000134242.14",0.0941509553219064,0.0700989747233855,"Y","Y"
"ENSG00000206557.5","ENSG00000206557.5",0.111040056086964,0.0767702088796208,"Y","Y"
"ENSG00000167419.9","ENSG00000167419.9",0.0690834442255859,0.0527674137282689,"Y","Y"
"ENSG00000267453.5","ENSG00000267453.5",0.0867817123704692,0.0551681965283975,"Y","Y"
"ENSG00000132470.12","ENSG00000132470.12",0.0563363617068366,0.0588714305919615,"Y","Y"
