"","X","hgnc_id","hgnc_symbol","ensembl_gene_id","logFC","AveExpr","t","p.unadj","p.adj.bh","b","svm1_weights","svm2_weights","svm3_weights","svm4_weights","lasso_coef_rep1","lasso_coef_rep2","lasso_coef_rep3","rfnb_2k_MeanDecNodeImp","rfnb_5k_MeanDecNodeImp","rfnb_10k_MeanDecNodeImp","xg1_imp","xg2_imp","xg3_imp","xg4_imp","xg5_imp"
"1","ENSG00000129194.6","HGNC:11196","SOX15","ENSG00000129194",-2.38965068470751,0.843840408555298,-9.41471761313774,2.71986889073578e-15,4.74481127988858e-11,24.3500435505254,-0.00241148945638557,-0.00241148945638557,-13.8887300677102,-13.8887300677102,0,0,0,0.535053809691244,0.454516560437716,0.474332155395802,0,0,0,0,0
"2","ENSG00000172236.15","HGNC:12019","TPSAB1","ENSG00000172236",-5.5396980762993,3.64975998042835,-9.26325006990779,5.75163255859654e-15,5.01686149923584e-11,23.6321428021774,-0.00602820380826469,-0.00602820380826469,-13.2145592298112,-13.2145592298112,0,-0.0601098165526156,0,0.315620926639809,0.226772646661176,0.237912721663408,0,0.0178402353117747,0.0158745264524965,0.0158745264524965,0.0158745264524965
"3","ENSG00000196557.9","HGNC:1395","CACNA1H","ENSG00000196557",-4.1696542633934,-1.40585362178189,-9.00288765641479,2.08157550402068e-14,1.14642378405697e-10,22.0694788683411,-0.0044975040731012,-0.0044975040731012,-13.3826648435413,-13.3826648435413,0,0,0,0.351851954329315,0.393187924466773,0.361982774033252,0,0,0,0,0
"4","ENSG00000163106.9","HGNC:17890","HPGDS","ENSG00000163106",-4.40015090381761,0.806601401611359,-8.91974268310088,3.13756164105783e-14,1.14642378405697e-10,21.9653566082849,-0.0051373824461158,-0.0051373824461158,-11.6034611356286,-11.6034611356286,0,0,0,0.461928381413472,0.311060927110971,0.315884143392523,0,0,0,0,0
"5","ENSG00000134569.8","HGNC:6696","LRP4","ENSG00000134569",-3.48300868653818,-1.0758654960855,-8.91038355124733,3.28582339941808e-14,1.14642378405697e-10,21.7296481510398,-0.00539976382268487,-0.00539976382268487,-12.1350602427799,-12.1350602427799,0,0,-0.0111437327953159,0.274730508659722,0.17466187144468,0.253714078861464,0,0,0,0,0
"6","ENSG00000170893.3","HGNC:12298","TRH","ENSG00000170893",-5.46847544578186,1.88772045195093,-8.64547673527769,1.21200130392222e-13,3.52389379115385e-10,20.6647434547784,-0.00106512762787195,-0.00106512762787195,-12.6834916555273,-12.6834916555273,0,0,-0.047051075453287,0.352749379481599,0.541641657687673,0.488601192956831,0,0,0,0,0
"7","ENSG00000182809.9","HGNC:2361","CRIP2","ENSG00000182809",-3.24678794057281,2.0203468068814,-8.6057100716982,1.47387965418948e-13,3.67311865247649e-10,20.4680560688725,-0.00400622811988226,-0.00400622811988226,-9.82116228259764,-9.82116228259764,0,0,0,0.125701547135624,0.143671607381119,0.148146957413615,0,0,0,0,0
"8","ENSG00000007516.12","HGNC:948","BAIAP3","ENSG00000007516",-2.67700578072291,0.776121158634032,-8.48291464227141,2.69489485355847e-13,5.87655509004094e-10,19.8845531598675,-0.00375843298811593,-0.00375843298811593,-11.0081946405602,-11.0081946405602,0,0,0,0.158208839796076,0.286312179958442,0.250313700028019,0,0,0,0,0
"9","ENSG00000144668.10","HGNC:6145","ITGA9","ENSG00000144668",-3.38818252445272,2.73521593508835,-8.37492572553792,4.57778858224044e-13,7.17184077069066e-10,19.3457962034618,0.000793539438361858,0.000793539438361858,-9.24911283255243,-9.24911283255243,0,0,0,0.206129640228407,0.117537818540867,0.181956879600688,0,0,0,0,0
"10","ENSG00000260182.1","","","ENSG00000260182",-5.86694258762279,-2.88025195524797,-8.37478147021137,4.58102729005724e-13,7.17184077069066e-10,18.7029426798771,-0.00701725404629358,-0.00701725404629358,-12.2385582839789,-12.2385582839789,-0.0956569771646455,0,0,0.30598173116052,0.365757333475678,0.382848743900493,0,0,0.0059581668007897,0.0059581668007897,0.0059581668007897
