"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000136231.12",-2.34449634582225,1.08242301660479,-6.345876975377,6.739151684364e-09,0.000118224937998798,9.95567543262925
"ENSG00000136111.11",-2.06745124900382,0.283344200118549,-5.8982371273788,5.15999432165034e-08,0.000452608901923559,7.98781434257603
"ENSG00000197182.11",2.42088868031807,-0.740067709883152,5.62142007038745,1.75968931568472e-07,0.0010290076555019,6.67122290249765
"ENSG00000241990.4",1.98397391324107,-0.00112455283811359,5.54698909694051,2.43612302240623e-07,0.00106842265455181,6.55596736354035
"ENSG00000135144.6",-2.03110831715789,-0.477930767266043,-5.25030013274991,8.72478595973101e-07,0.00306117840183122,5.33349821754256
"ENSG00000138795.8",-2.01395215883705,2.72292582733441,-5.1262127841771,1.47219155546814e-06,0.00383891946476529,5.03277774544955
"ENSG00000231010.1",2.59278343394733,-3.63594372054107,5.10382970164609,1.61678268418074e-06,0.00383891946476529,3.71791739989815
"ENSG00000235159.1",2.29419367021597,-3.1231625618815,5.08478650460125,1.75063305695276e-06,0.00383891946476529,3.91368417915266
"ENSG00000167483.16",-1.43331445052952,1.17115953445208,-4.97281554526492,2.78568725773116e-06,0.00488693115623777,4.43804595146128
"ENSG00000158106.11",1.58051614900108,2.62508364530668,4.75020388947081,6.89911490402813e-06,0.0110028338873969,3.59206158340455
"ENSG00000137502.8",-1.42040207970173,1.48185426561779,-4.6773364544891,9.237348582658e-06,0.0135042338487974,3.33977094295399
"ENSG00000124813.19",1.26892759841479,5.44753353189272,4.63386362111593,1.09810387994548e-05,0.0148184895122182,3.09901264102403
"ENSG00000105369.8",-1.35866004890604,4.01775566793862,-4.61307354828767,1.19238411801159e-05,0.0149414247016266,3.04413695695022
"ENSG00000166126.9",1.54927512146095,0.601132019390045,4.58721560620006,1.32062990002228e-05,0.0154452068907272,3.00838723459194
"ENSG00000232021.5",-2.13794299123563,-2.85144832659799,-4.47884344628643,2.01907871549587e-05,0.0198801458530871,2.11142428709358
"ENSG00000271857.1",1.636699318923,0.488978837376529,4.46134699949215,2.16112458169096e-05,0.0198801458530871,2.56137232702426
"ENSG00000164330.15",-1.65832012462102,0.387279485325508,-4.44559087650731,2.29726794068625e-05,0.0198801458530871,2.50358875348804
"ENSG00000171033.11",-2.16200956736653,-1.58253765210983,-4.43952807117751,2.35183157194319e-05,0.0198801458530871,2.29004361830647
"ENSG00000188848.14",-2.34780436143389,-1.9285450183746,-4.43647610116749,2.37977006734783e-05,0.0198801458530871,2.20279781600502
"ENSG00000120278.13",-1.53147375233906,0.223191497874979,-4.41788737920787,2.5569857337917e-05,0.0203896366945036,2.40393822676449
"ENSG00000012124.13",-1.22523659019507,2.14715989361166,-4.38237233507495,2.9316403301834e-05,0.0223607679619163,2.26333996809982
"ENSG00000128218.7",-1.57716492089418,-1.00617810064697,-4.36868859729755,3.08968891074726e-05,0.022584338567183,2.15608695895255
"ENSG00000135116.8",-2.04580980525278,-3.53163171642877,-4.34475063363391,3.38614696045579e-05,0.0228473754335677,1.50225072526845
"ENSG00000174136.10",-1.70610324271029,-2.39414317777998,-4.3131196367471,3.82018919684056e-05,0.0248213255852496,1.73598253881756
"ENSG00000124466.8",-1.15357344496539,-0.137505785104061,-4.26947504189802,4.50797274601405e-05,0.0255107631881692,1.88961568660196
"ENSG00000127418.13",1.00739841682946,3.03362843392539,4.23275069414902,5.17769603842452e-05,0.0277311359569862,1.7028861978178
"ENSG00000279930.1",1.33876118896586,-1.76998014337616,4.23076651605296,5.21648228114088e-05,0.0277311359569862,1.61014401215462
"ENSG00000265778.2",1.35453012177985,-1.02267838682574,4.21273418017082,5.58202303681284e-05,0.0288015970984729,1.64812683319221
"ENSG00000242265.4",-1.62943251831173,-2.52802429506335,-4.19378288486449,5.992696416758e-05,0.0300371066397673,1.34413197377826
"ENSG00000101493.9",1.17775376574822,4.06694581399436,4.16479995095842,6.67742374762044e-05,0.0325113207516487,1.43182022295769
"ENSG00000281103.1",1.36256298856286,1.41668593171206,4.15688243908921,6.87717497785485e-05,0.0325113207516487,1.50342479288954
"ENSG00000156299.11",-1.52423469382787,-0.195648082298705,-4.13135549266004,7.56102651823183e-05,0.0340110482588054,1.42773306472093
"ENSG00000172995.15",-3.10202888457041,-2.72264035344592,-4.08248057603019,9.05674649100425e-05,0.0397206259229219,0.932265767015817
"ENSG00000197705.8",-1.91769989912836,-2.7328743577167,-4.05327099377502,0.000100819985555043,0.042319639126521,0.880048379748877
"ENSG00000231711.2",1.74802827432105,-0.261536524557483,4.04697724226593,0.000103170326627264,0.042319639126521,1.15227670110958
"ENSG00000168646.11",-1.63087484609865,-2.04900426386336,-4.04549744136245,0.000103730518294499,0.042319639126521,0.988857949396579
"ENSG00000276600.3",2.26457435766842,0.497797175258828,4.02582651874759,0.000111459562835326,0.0444394343368211,1.08814634568343
"ENSG00000165801.8",1.12795375110439,4.08285803703183,3.99697759829112,0.00012379946327057,0.0482625329812356,0.857668777788376
"ENSG00000177034.13",-1.35862865289326,1.16185171544608,-3.98197503640708,0.000130723071881722,0.0498538010874143,0.928665301351745
