,0
ENSG00000129194.6,951
ENSG00000172236.15,995
ENSG00000196557.9,997
ENSG00000163106.9,999
ENSG00000134569.8,994
ENSG00000170893.3,1000
ENSG00000144668.10,971
ENSG00000260182.1,993
ENSG00000137449.14,1000
ENSG00000197253.12,903
ENSG00000271447.4,929
ENSG00000167664.7,998
ENSG00000132975.7,999
ENSG00000198576.3,957
ENSG00000179954.13,757
ENSG00000164929.15,976
ENSG00000147488.10,994
ENSG00000065054.12,663
ENSG00000263961.5,657
ENSG00000236939.2,865
ENSG00000156298.11,964
ENSG00000228401.4,998
ENSG00000136040.7,918
ENSG00000078399.14,1000
ENSG00000267453.5,997
ENSG00000132470.12,721
ENSG00000172889.14,585
ENSG00000137571.9,930
ENSG00000139117.12,1000
ENSG00000271109.1,358
ENSG00000113389.14,436
ENSG00000099864.16,49
ENSG00000116176.6,735
ENSG00000140682.17,253
ENSG00000037280.14,923
ENSG00000250696.4,968
ENSG00000248334.5,995
ENSG00000152953.11,793
ENSG00000165716.8,713
ENSG00000090971.4,845
ENSG00000198842.8,962
ENSG00000005381.7,969
ENSG00000253293.4,1000
ENSG00000139354.9,804
ENSG00000197119.11,563
ENSG00000138449.9,484
ENSG00000213759.7,909
ENSG00000132623.14,619
ENSG00000170549.3,305
ENSG00000132122.10,836
ENSG00000130702.12,508
ENSG00000258733.4,772
ENSG00000121281.11,527
ENSG00000140287.9,562
ENSG00000254369.5,1000
ENSG00000182871.13,765
ENSG00000158715.5,330
ENSG00000249763.1,878
ENSG00000091490.9,968
ENSG00000183853.16,800
ENSG00000106004.4,989
ENSG00000233236.1,271
ENSG00000166908.16,610
ENSG00000145916.17,454
ENSG00000158089.13,296
ENSG00000196358.9,234
ENSG00000257883.1,931
ENSG00000189068.8,947
ENSG00000224940.7,845
ENSG00000105997.21,1000
ENSG00000149534.7,393
ENSG00000203797.8,648
ENSG00000276141.3,981
ENSG00000187556.7,108
ENSG00000136854.16,999
ENSG00000198959.10,256
ENSG00000070731.8,120
ENSG00000022567.8,519
ENSG00000249252.4,423
ENSG00000151917.16,829
ENSG00000115705.19,653
ENSG00000253552.6,996
ENSG00000119280.15,500
ENSG00000165804.14,385
ENSG00000253187.2,1000
ENSG00000086205.15,471
ENSG00000088305.17,686
ENSG00000111885.6,724
ENSG00000148468.15,336
ENSG00000170873.17,669
ENSG00000278969.1,494
ENSG00000183092.14,197
ENSG00000170542.5,816
ENSG00000177380.12,984
ENSG00000156968.8,824
ENSG00000196526.9,312
ENSG00000233392.4,658
ENSG00000205084.9,195
ENSG00000122707.10,287
ENSG00000248347.3,48
ENSG00000100906.9,262
ENSG00000135077.7,990
ENSG00000010319.5,475
ENSG00000038382.16,839
ENSG00000042286.13,659
ENSG00000106006.6,1000
ENSG00000164684.12,216
ENSG00000177426.19,65
ENSG00000107736.18,55
ENSG00000230453.8,988
ENSG00000139915.17,456
ENSG00000197576.12,925
ENSG00000226321.5,405
ENSG00000171223.5,356
ENSG00000122592.7,999
ENSG00000104951.14,114
ENSG00000204136.9,454
ENSG00000067606.14,779
ENSG00000277435.1,974
ENSG00000153132.11,299
ENSG00000270182.1,993
ENSG00000105996.6,1000
ENSG00000262877.4,287
ENSG00000157510.12,369
ENSG00000241911.1,207
ENSG00000120696.8,248
ENSG00000086730.15,21
ENSG00000103175.9,371
ENSG00000226562.3,338
ENSG00000154237.11,487
ENSG00000170153.9,383
ENSG00000256951.1,832
ENSG00000100320.21,577
ENSG00000198185.10,598
ENSG00000224429.6,605
ENSG00000106484.13,377
ENSG00000279717.1,79
ENSG00000234373.1,134
ENSG00000269019.1,759
ENSG00000232431.3,904
ENSG00000261377.4,427
ENSG00000239887.4,559
ENSG00000106665.14,197
ENSG00000187720.13,173
ENSG00000077420.14,65
ENSG00000250510.6,69
ENSG00000188626.6,961
ENSG00000277867.1,532
ENSG00000153898.11,615
ENSG00000143067.4,233
ENSG00000154864.10,602
ENSG00000225792.1,824
ENSG00000106605.9,222
ENSG00000067082.13,36
ENSG00000087495.15,970
ENSG00000244479.5,721
ENSG00000251692.6,543
ENSG00000112208.11,41
ENSG00000155530.2,678
ENSG00000118156.11,129
ENSG00000271776.1,635
ENSG00000166816.12,237
ENSG00000179542.14,421
ENSG00000130300.7,177
ENSG00000251602.5,70
ENSG00000087237.9,335
ENSG00000275325.3,721
ENSG00000226742.3,68
ENSG00000101333.15,439
ENSG00000147257.12,93
ENSG00000114405.9,132
ENSG00000187699.9,456
ENSG00000198722.11,314
ENSG00000135842.15,845
ENSG00000135226.15,55
ENSG00000181433.8,661
ENSG00000164741.13,558
ENSG00000124140.11,497
ENSG00000120833.12,457
ENSG00000157303.9,129
ENSG00000165300.7,866
ENSG00000197249.11,72
ENSG00000152192.7,661
ENSG00000175544.12,426
ENSG00000169439.10,85
ENSG00000154783.9,322
ENSG00000122574.9,260
ENSG00000159374.16,257
ENSG00000226822.1,43
ENSG00000197561.5,16
ENSG00000005073.5,330
ENSG00000170899.9,686
ENSG00000170396.7,46
ENSG00000246985.6,398
ENSG00000007516.12,907
ENSG00000095917.12,561
ENSG00000175287.17,688
ENSG00000135318.10,807
ENSG00000162078.10,609
ENSG00000206557.5,495
ENSG00000167419.9,604
ENSG00000099998.16,642
ENSG00000106538.8,328
ENSG00000174059.15,377
ENSG00000019991.14,816
ENSG00000168916.14,669
ENSG00000273314.1,395
ENSG00000205696.4,775
ENSG00000004399.11,137
ENSG00000155659.13,401
ENSG00000143995.18,567
ENSG00000133138.18,570
ENSG00000109576.12,89
ENSG00000206120.10,312
ENSG00000135622.11,516
ENSG00000196876.12,685
ENSG00000230749.4,203
ENSG00000047648.20,191
ENSG00000102595.17,833
ENSG00000119547.5,305
ENSG00000214145.5,559
