,0
0,ENSG00000005108.14
1,ENSG00000005513.9
2,ENSG00000019169.10
3,ENSG00000067798.12
4,ENSG00000069535.13
5,ENSG00000072694.17
6,ENSG00000079102.15
7,ENSG00000080493.12
8,ENSG00000087245.11
9,ENSG00000095917.12
10,ENSG00000101443.16
11,ENSG00000103241.6
12,ENSG00000104313.16
13,ENSG00000104921.13
14,ENSG00000106538.8
15,ENSG00000111341.8
16,ENSG00000111452.11
17,ENSG00000113100.8
18,ENSG00000113389.14
19,ENSG00000114923.15
20,ENSG00000115112.7
21,ENSG00000115602.15
22,ENSG00000116176.6
23,ENSG00000117245.11
24,ENSG00000117791.14
25,ENSG00000119121.20
26,ENSG00000121807.5
27,ENSG00000122574.9
28,ENSG00000122691.11
29,ENSG00000123201.13
30,ENSG00000123685.7
31,ENSG00000124491.14
32,ENSG00000125931.9
33,ENSG00000128438.9
34,ENSG00000130433.6
35,ENSG00000130508.9
36,ENSG00000130649.8
37,ENSG00000130762.13
38,ENSG00000132514.12
39,ENSG00000132975.7
40,ENSG00000133055.7
41,ENSG00000134247.9
42,ENSG00000134460.14
43,ENSG00000134569.8
44,ENSG00000135318.10
45,ENSG00000138395.13
46,ENSG00000140287.9
47,ENSG00000140839.10
48,ENSG00000141255.11
49,ENSG00000141433.11
50,ENSG00000141744.3
51,ENSG00000144407.8
52,ENSG00000144810.14
53,ENSG00000145244.10
54,ENSG00000146648.14
55,ENSG00000147488.10
56,ENSG00000148541.11
57,ENSG00000152672.6
58,ENSG00000153012.10
59,ENSG00000155011.7
60,ENSG00000155970.10
61,ENSG00000157111.11
62,ENSG00000157335.18
63,ENSG00000158481.11
64,ENSG00000159713.9
65,ENSG00000161643.11
66,ENSG00000161905.11
67,ENSG00000162078.10
68,ENSG00000162595.4
69,ENSG00000163106.9
70,ENSG00000163239.11
71,ENSG00000163421.7
72,ENSG00000164100.8
73,ENSG00000164120.12
74,ENSG00000164741.13
75,ENSG00000166770.9
76,ENSG00000167419.9
77,ENSG00000167767.12
78,ENSG00000167968.11
79,ENSG00000168546.9
80,ENSG00000168702.15
81,ENSG00000168913.6
82,ENSG00000169116.10
83,ENSG00000170837.2
84,ENSG00000171345.12
85,ENSG00000171509.14
86,ENSG00000171659.12
87,ENSG00000171903.15
88,ENSG00000172236.15
89,ENSG00000172476.3
90,ENSG00000173482.15
91,ENSG00000174640.11
92,ENSG00000176083.16
93,ENSG00000176692.5
94,ENSG00000176771.14
95,ENSG00000179104.7
96,ENSG00000179639.9
97,ENSG00000180044.4
98,ENSG00000180644.6
99,ENSG00000181036.12
100,ENSG00000182700.4
101,ENSG00000184838.13
102,ENSG00000185345.17
103,ENSG00000185633.9
104,ENSG00000186115.11
105,ENSG00000196436.8
106,ENSG00000196557.9
107,ENSG00000196581.9
108,ENSG00000197253.12
109,ENSG00000198400.10
110,ENSG00000198576.3
111,ENSG00000198842.8
112,ENSG00000198910.11
113,ENSG00000199477.1
114,ENSG00000204644.8
115,ENSG00000213759.7
116,ENSG00000216331.1
117,ENSG00000223751.1
118,ENSG00000224687.1
119,ENSG00000225217.1
120,ENSG00000225234.1
121,ENSG00000225778.4
122,ENSG00000226259.9
123,ENSG00000226321.5
124,ENSG00000230246.6
125,ENSG00000230772.1
126,ENSG00000233968.5
127,ENSG00000234147.1
128,ENSG00000234449.2
129,ENSG00000236081.1
130,ENSG00000238039.1
131,ENSG00000239445.4
132,ENSG00000239704.9
133,ENSG00000241644.2
134,ENSG00000244682.6
135,ENSG00000244953.1
136,ENSG00000246100.3
137,ENSG00000248858.6
138,ENSG00000250696.4
139,ENSG00000250771.2
140,ENSG00000253522.3
141,ENSG00000255874.2
142,ENSG00000255882.1
143,ENSG00000257207.5
144,ENSG00000258655.2
145,ENSG00000260078.3
146,ENSG00000260182.1
147,ENSG00000260941.1
148,ENSG00000261251.1
149,ENSG00000261286.1
150,ENSG00000263326.1
151,ENSG00000264707.1
152,ENSG00000265179.5
153,ENSG00000265519.1
154,ENSG00000266733.4
155,ENSG00000267131.1
156,ENSG00000267453.5
157,ENSG00000267547.1
158,ENSG00000269696.1
159,ENSG00000270164.1
160,ENSG00000271009.2
161,ENSG00000271324.1
162,ENSG00000271997.1
163,ENSG00000272010.1
164,ENSG00000272217.1
165,ENSG00000272342.1
166,ENSG00000272973.1
167,ENSG00000273355.1
168,ENSG00000273449.1
169,ENSG00000273628.1
170,ENSG00000274191.1
171,ENSG00000275769.1
172,ENSG00000279717.1
173,ENSG00000280081.2
