"","x"
"1","ENSG00000244734"
"2","ENSG00000019582"
"3","ENSG00000005381"
"4","ENSG00000188536"
"5","ENSG00000169429"
"6","ENSG00000128016"
"7","ENSG00000204287"
"8","ENSG00000197561"
"9","ENSG00000067082"
"10","ENSG00000135046"
"11","ENSG00000197766"
"12","ENSG00000100448"
"13","ENSG00000231389"
"14","ENSG00000026508"
"15","ENSG00000127528"
"16","ENSG00000143878"
"17","ENSG00000100906"
"18","ENSG00000196126"
"19","ENSG00000197747"
"20","ENSG00000174059"
"21","ENSG00000171223"
"22","ENSG00000002586"
"23","ENSG00000124882"
"24","ENSG00000005961"
"25","ENSG00000223865"
"26","ENSG00000172236"
"27","ENSG00000133742"
"28","ENSG00000206172"
"29","ENSG00000078596"
"30","ENSG00000179344"
"31","ENSG00000169442"
"32","ENSG00000223609"
"33","ENSG00000059804"
"34","ENSG00000004939"
"35","ENSG00000109321"
"36","ENSG00000147872"
"37","ENSG00000010610"
"38","ENSG00000119535"
"39","ENSG00000142089"
"40","ENSG00000198502"
"41","ENSG00000144655"
"42","ENSG00000102804"
"43","ENSG00000179348"
"44","ENSG00000173801"
"45","ENSG00000102854"
"46","ENSG00000170893"
"47","ENSG00000185198"
"48","ENSG00000105270"
"49","ENSG00000197253"
"50","ENSG00000187837"
"51","ENSG00000197249"
"52","ENSG00000221869"
"53","ENSG00000102760"
"54","ENSG00000106484"
"55","ENSG00000136732"
"56","ENSG00000204257"
"57","ENSG00000139318"
"58","ENSG00000125538"
"59","ENSG00000184678"
"60","ENSG00000182718"
"61","ENSG00000118971"
"62","ENSG00000112077"
"63","ENSG00000196735"
"64","ENSG00000078399"
"65","ENSG00000167173"
"66","ENSG00000113140"
"67","ENSG00000169877"
"68","ENSG00000158578"
"69","ENSG00000120833"
"70","ENSG00000166825"
"71","ENSG00000266074"
"72","ENSG00000005249"
"73","ENSG00000108679"
"74","ENSG00000169184"
"75","ENSG00000123358"
"76","ENSG00000185022"
"77","ENSG00000198355"
"78","ENSG00000172247"
"79","ENSG00000109062"
"80","ENSG00000135916"
"81","ENSG00000184588"
"82","ENSG00000112149"
"83","ENSG00000130529"
"84","ENSG00000125869"
"85","ENSG00000086730"
"86","ENSG00000126264"
"87","ENSG00000162772"
"88","ENSG00000118985"
"89","ENSG00000109787"
"90","ENSG00000111885"
"91","ENSG00000169641"
"92","ENSG00000163751"
"93","ENSG00000124762"
"94","ENSG00000124491"
"95","ENSG00000008394"
"96","ENSG00000133246"
"97","ENSG00000111371"
"98","ENSG00000020633"
"99","ENSG00000164741"
"100","ENSG00000134531"
