"","x"
"1","ENSG00000005471.14"
"2","ENSG00000008086.9"
"3","ENSG00000008405.10"
"4","ENSG00000042286.13"
"5","ENSG00000067177.13"
"6","ENSG00000067606.14"
"7","ENSG00000073282.11"
"8","ENSG00000075461.5"
"9","ENSG00000078399.14"
"10","ENSG00000081985.9"
"11","ENSG00000085276.16"
"12","ENSG00000087495.15"
"13","ENSG00000088305.17"
"14","ENSG00000091490.9"
"15","ENSG00000092096.13"
"16","ENSG00000096092.5"
"17","ENSG00000100320.21"
"18","ENSG00000100448.3"
"19","ENSG00000101333.15"
"20","ENSG00000102349.13"
"21","ENSG00000102595.17"
"22","ENSG00000102780.15"
"23","ENSG00000102996.4"
"24","ENSG00000104728.14"
"25","ENSG00000105227.13"
"26","ENSG00000105559.10"
"27","ENSG00000105991.7"
"28","ENSG00000105996.6"
"29","ENSG00000105997.21"
"30","ENSG00000106004.4"
"31","ENSG00000106006.6"
"32","ENSG00000106012.16"
"33","ENSG00000106665.14"
"34","ENSG00000107281.8"
"35","ENSG00000108813.10"
"36","ENSG00000108821.12"
"37","ENSG00000110492.14"
"38","ENSG00000110799.12"
"39","ENSG00000114026.20"
"40","ENSG00000116147.15"
"41","ENSG00000117525.12"
"42","ENSG00000118523.5"
"43","ENSG00000119547.5"
"44","ENSG00000119919.10"
"45","ENSG00000119946.10"
"46","ENSG00000120068.6"
"47","ENSG00000120279.6"
"48","ENSG00000122548.5"
"49","ENSG00000122592.7"
"50","ENSG00000122707.10"
"51","ENSG00000123453.15"
"52","ENSG00000124140.11"
"53","ENSG00000124159.14"
"54","ENSG00000124181.13"
"55","ENSG00000125648.13"
"56","ENSG00000125730.15"
"57","ENSG00000125821.10"
"58","ENSG00000128641.16"
"59","ENSG00000128805.13"
"60","ENSG00000130147.14"
"61","ENSG00000130635.14"
"62","ENSG00000130962.16"
"63","ENSG00000131187.8"
"64","ENSG00000131370.14"
"65","ENSG00000132122.10"
"66","ENSG00000132932.15"
"67","ENSG00000135622.11"
"68","ENSG00000135862.5"
"69","ENSG00000136802.10"
"70","ENSG00000136854.16"
"71","ENSG00000137673.7"
"72","ENSG00000138028.13"
"73","ENSG00000139117.12"
"74","ENSG00000141756.17"
"75","ENSG00000142235.7"
"76","ENSG00000142611.15"
"77","ENSG00000143995.18"
"78","ENSG00000144724.17"
"79","ENSG00000145777.13"
"80","ENSG00000146555.17"
"81","ENSG00000147689.15"
"82","ENSG00000148488.14"
"83","ENSG00000149948.12"
"84","ENSG00000150054.17"
"85","ENSG00000151150.19"
"86","ENSG00000151929.8"
"87","ENSG00000152377.11"
"88","ENSG00000153253.14"
"89","ENSG00000154277.11"
"90","ENSG00000154447.13"
"91","ENSG00000154783.9"
"92","ENSG00000154864.10"
"93","ENSG00000156968.8"
"94","ENSG00000157110.14"
"95","ENSG00000157303.9"
"96","ENSG00000158258.14"
"97","ENSG00000160867.13"
"98","ENSG00000162836.10"
"99","ENSG00000163092.18"
"100","ENSG00000163354.13"
"101","ENSG00000163736.3"
"102","ENSG00000163737.3"
"103","ENSG00000164879.6"
"104","ENSG00000165171.9"
"105","ENSG00000165300.7"
"106","ENSG00000166091.18"
"107","ENSG00000166908.16"
"108","ENSG00000168268.9"
"109","ENSG00000168497.4"
"110","ENSG00000168938.5"
"111","ENSG00000169258.6"
"112","ENSG00000169442.7"
"113","ENSG00000170899.9"
"114","ENSG00000170921.13"
"115","ENSG00000174705.10"
"116","ENSG00000175097.6"
"117","ENSG00000175198.13"
"118","ENSG00000176788.8"
"119","ENSG00000176842.13"
"120","ENSG00000177133.9"
"121","ENSG00000177283.5"
"122","ENSG00000177359.16"
"123","ENSG00000177380.12"
"124","ENSG00000179299.15"
"125","ENSG00000179542.14"
"126","ENSG00000180543.4"
"127","ENSG00000182873.5"
"128","ENSG00000183250.10"
"129","ENSG00000183828.13"
"130","ENSG00000184058.11"
"131","ENSG00000184867.12"
"132","ENSG00000184916.7"
"133","ENSG00000185022.10"
"134","ENSG00000185986.11"
"135","ENSG00000186301.8"
"136","ENSG00000186510.10"
"137","ENSG00000186564.5"
"138","ENSG00000186583.10"
"139","ENSG00000187244.9"
"140","ENSG00000187699.9"
"141","ENSG00000187772.6"
"142","ENSG00000188153.11"
"143","ENSG00000188580.12"
"144","ENSG00000188643.9"
"145","ENSG00000188659.8"
"146","ENSG00000196104.9"
"147","ENSG00000196876.12"
"148","ENSG00000197301.6"
"149","ENSG00000197576.12"
"150","ENSG00000197992.5"
"151","ENSG00000198142.4"
"152","ENSG00000198185.10"
"153","ENSG00000198722.11"
"154","ENSG00000198846.5"
"155","ENSG00000198865.8"
"156","ENSG00000198892.6"
"157","ENSG00000198910.11"
"158","ENSG00000198963.9"
"159","ENSG00000204116.10"
"160","ENSG00000204682.5"
"161","ENSG00000206120.10"
"162","ENSG00000206177.5"
"163","ENSG00000214870.7"
"164","ENSG00000215187.8"
"165","ENSG00000227053.1"
"166","ENSG00000228439.4"
"167","ENSG00000230749.4"
"168","ENSG00000232682.2"
"169","ENSG00000233922.2"
"170","ENSG00000235034.5"
"171","ENSG00000240990.8"
"172","ENSG00000242516.1"
"173","ENSG00000244479.5"
"174","ENSG00000246985.6"
"175","ENSG00000250510.6"
"176","ENSG00000253187.2"
"177","ENSG00000253293.4"
"178","ENSG00000253552.6"
"179","ENSG00000254369.5"
"180","ENSG00000255571.5"
"181","ENSG00000259207.6"
"182","ENSG00000260027.4"
"183","ENSG00000260802.1"
"184","ENSG00000267023.4"
"185","ENSG00000270182.1"
"186","ENSG00000272189.1"
"187","ENSG00000274591.1"
"188","ENSG00000274605.1"
"189","ENSG00000275542.1"
"190","ENSG00000275966.1"
"191","ENSG00000279821.1"
