"","x"
"1","ENSG00000005108.14"
"2","ENSG00000038382.16"
"3","ENSG00000071242.10"
"4","ENSG00000086205.15"
"5","ENSG00000105792.18"
"6","ENSG00000118965.13"
"7","ENSG00000123358.18"
"8","ENSG00000138079.12"
"9","ENSG00000143067.4"
"10","ENSG00000144642.19"
"11","ENSG00000147174.10"
"12","ENSG00000147488.10"
"13","ENSG00000158050.4"
"14","ENSG00000164035.8"
"15","ENSG00000170396.7"
"16","ENSG00000179639.9"
"17","ENSG00000182247.8"
"18","ENSG00000198208.10"
"19","ENSG00000226321.5"
"20","ENSG00000236279.5"
